0,1,2,_source,_url,_table_type,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,_table_id,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,xG,xGA,xGD,xGD/90,Wk,xG.1
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Sun,1982-06-13,20:00,Argentina ar,0–1,be Belgium,95000,Camp Nou (Neutral Site),Vojtech Christov,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Mon,1982-06-14,17:15,Italy it,0–0,pl Poland,33000,Estadio Municipal de Balaï¿½dos (Neutral Site),Michel Vautrot,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Mon,1982-06-14,21:00,Brazil br,2–1,su Soviet Union,68000,Ramon Sanchez Pizjuan (Neutral Site),Augusto Lamo Castillo,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Tue,1982-06-15,17:15,Peru pe,0–0,cm Cameroon,11000,Riazor (Neutral Site),Franz Woehrer,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Tue,1982-06-15,21:00,Hungary hu,10–1,sv El Salvador,23000,Nuevo Estadio (Neutral Site),Ebrahim Al Doy,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Tue,1982-06-15,21:00,Scotland sct,5–2,nz New Zealand,36000,La Rosaleda (Neutral Site),David Socha,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Wed,1982-06-16,17:15,England eng,3–1,fr France,44172,San Mames (Neutral Site),Antonio Garrido,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Wed,1982-06-16,17:15,West Germany de,1–2,dz Algeria,42000,El Molinon (Neutral Site),Enrique Labo Revoredo,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Wed,1982-06-16,21:00,Spain es,1–1,hn Honduras,49562,Luis Casanova (Neutral Site),Arturo Andres Ithurralde,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Thu,1982-06-17,17:15,Chile cl,0–1,at Austria,22500,Carlos Tartiere (Neutral Site),Juan Cardellino De San Vicente,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Thu,1982-06-17,17:45,Czechoslovakia cs,1–1,kw Kuwait,25000,Jose Zorrilla (Neutral Site),Benjamin Dwomoh,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Thu,1982-06-17,21:00,Yugoslavia yu,0–0,nir Northern Ireland,25000,La Romareda (Neutral Site),Erik Fredriksson,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Fri,1982-06-18,17:15,Italy it,1–1,pe Peru,25000,Estadio Municipal de Balaï¿½dos (Neutral Site),Walter Eschweiler,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Fri,1982-06-18,21:00,Argentina ar,4–1,hu Hungary,32093,Jose Rico Perez (Neutral Site),Belaid Lacarne,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Fri,1982-06-18,21:00,Brazil br,4–1,sct Scotland,47379,Benito Villamarin (Neutral Site),Jesus Paulino Siles,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_1982_1_1,,Sat,1982-06-19,19:15,Poland pl,0–0,cm Cameroon,19000,Riazor (Neutral Site),Alexis Ponnet,Match Report,,,,,,
